"asset_id","product_family","asset_type","source_url","source_page","original_filename","local_path","captured_at","file_hash","license_basis","usage_pages","alt_text","status","notes","source_bytes","source_archive_path","local_file_hash","local_bytes","local_width","local_height","pipeline_action"
"ke-img-001","dekoratif-panel","image","https://www.kastamonuentegre.com/assets/img/galeri/A609-1-1-3.jpg","https://www.kastamonuentegre.com/tr_tr/urun/belmonte-a609-ksdp-00154","A609-1-1-3.jpg","public/images/products/kastamonu-entegre/dekoratif-panel/dekoratif-panel-uygulama-01.webp","2026-07-26","sha256:ca2e1ec0c1d8e5449dea083f55bee00effc24fe30d9d7101344286ee64d9eb12","bayilik-anlasmasi-gorsel-kullanim-izni; kullanıcı-teyidi-2026-07-26","/urunler/kastamonu-entegre/; /urunler/kastamonu-entegre/dekoratif-panel/","Kastamonu Entegre dekoratif panel uygulama örneği","onaylı","Kastamonu Entegre Belmonte ürün galerisindeki yüksek çözünürlüklü resmî uygulama görseli WebP olarak optimize edildi.","1087304","assets/kastamonu-entegre/original/dekoratif-panel/A609-1-1-3.jpg","sha256:2429aa3fbcf30c37b72933455ea8ef18ab68d840d6cfed003fd3b8c77978696c","157560","1500","800","optimize-and-archive"
"ke-img-002","mdf-yongalevha-compact-panel","image","https://www.kastamonuentegre.com/uploads/2022/11/mdf.jpg","https://www.kastamonuentegre.com/tr_tr/urunler/mdf-yonga-levha","mdf.jpg","public/images/products/kastamonu-entegre/mdf/mdf-yongalevha-compact-panel.webp","2026-07-26","sha256:bd104f1d721eba84562546ebec8d7e79996c3f22d4100a4413716765d34c281b","bayilik-anlasmasi-gorsel-kullanim-izni; kullanıcı-teyidi-2026-07-26","/urunler/kastamonu-entegre/; /urunler/kastamonu-entegre/mdf/; /urunler/kastamonu-entegre/yongalevha/","Kastamonu Entegre MDF, yonga levha ve compact panel ürün grubu","onaylı","Üç ürün ailesini birlikte temsil eden resmî kategori görseli.","30566","assets/kastamonu-entegre/original/mdf-yongalevha-compact-panel/mdf.jpg","sha256:85929d90b8b747571db8471451edc75cd3a075d6117992e9eb22b93af2b42961","4290","282","163","optimize-and-archive"
"ke-img-003","mdf","image","https://www.kastamonuentegre.com/uploads/2022/11/ham-levha.jpg","https://www.kastamonuentegre.com/tr_tr/urunler/mdf-yonga-levha","ham-levha.jpg","public/images/products/kastamonu-entegre/mdf/ham-mdf-levha.webp","2026-07-26","sha256:128943e13f265519af1f0a367e94359f16d445d5d972dd451f0816dcadae35ee","bayilik-anlasmasi-gorsel-kullanim-izni; kullanıcı-teyidi-2026-07-26","/urunler/kastamonu-entegre/mdf/","Ham MDF levha kesiti","onaylı","Kaynakta göreli URL kullanılıyor; manifestte mutlak URL'ye çevrildi.","77587","assets/kastamonu-entegre/original/mdf/ham-levha.jpg","sha256:393ab883b0cf7458147e470f7118887d4320ac5a0c858e28fd5384b97bdad06b","6858","651","283","optimize-and-archive"
"ke-img-004","compact-panel","image","https://www.kastamonuentegre.com/uploads/2023/09/cdf-detay.jpg","https://www.kastamonuentegre.com/tr_tr/urunler/mdf-yonga-levha","cdf-detay.jpg","public/images/products/kastamonu-entegre/dekoratif-panel/compact-panel-detay.webp","2026-07-26","sha256:c8e7c6dde7004b3f7abc9b20f68ac983d2a3c49f5e875ba86a603c528df92723","bayilik-anlasmasi-gorsel-kullanim-izni; kullanıcı-teyidi-2026-07-26","/urunler/kastamonu-entegre/dekoratif-panel/","Compact Panel levha kesit detayı","onaylı","Compact Panel ve Compact Panel Lam anlatımında bağlamı açık tut.","72526","assets/kastamonu-entegre/original/compact-panel/cdf-detay.jpg","sha256:d6d9d130a2f0f1b661c9468cb96927f68410389dd43164d7a6987445e599d85d","35294","1000","1000","optimize-and-archive"
"ke-img-005","kapi-paneli","image","https://www.kastamonuentegre.com/uploads/2023/03/kapipanel-min.jpg","https://www.kastamonuentegre.com/tr_tr/urunler/kapi-paneli","kapipanel-min.jpg","public/images/products/kastamonu-entegre/kapi-paneli/kapi-paneli-uygulama.webp","2026-07-26","sha256:dfefbdcfdf203b9e572a7e0263f6f543f1484077583d9654a29cd512d7a93630","bayilik-anlasmasi-gorsel-kullanim-izni; kullanıcı-teyidi-2026-07-26","/urunler/kastamonu-entegre/; /urunler/kastamonu-entegre/kapi-paneli/","Kastamonu Entegre kapı paneli uygulaması","onaylı","Doorpan/Doorlam kartları için ayrı katalog görselleri 2.10B'de PDF içinden değil resmî medya varlıklarından seçilecek.","28750","assets/kastamonu-entegre/original/kapi-paneli/kapipanel-min.jpg","sha256:ad32ef8a9888f1404c7de76c12f3f95a759a01c8538c68b8609ba1cfd20647fd","7642","282","163","optimize-and-archive"
"ke-img-006","yuzey-ps60-magma","image","https://www.kastamonuentegre.com/uploads/2025/08/ps60-magma_op.jpg","https://www.kastamonuentegre.com/tr_tr/urunler/dekoratif-panel","ps60-magma_op.jpg","public/images/products/kastamonu-entegre/yuzeyler/ps60-magma-detay.webp","2026-07-26","TBD-2.10B","bayilik-anlasmasi-gorsel-kullanim-izni; kullanıcı-teyidi-2026-07-26","/urunler/kastamonu-entegre/dekoratif-panel/","PS60 Magma yüzey dokusu","aday","Detay görseli; renk/dekor kartelası gibi sunulmayacak.","","","","","","","skip"
"ke-img-007","yuzey-ps77-flow","image","https://www.kastamonuentegre.com/uploads/2025/08/ps77-flow_op.jpg","https://www.kastamonuentegre.com/tr_tr/urunler/dekoratif-panel","ps77-flow_op.jpg","public/images/products/kastamonu-entegre/yuzeyler/ps77-flow-detay.webp","2026-07-26","TBD-2.10B","bayilik-anlasmasi-gorsel-kullanim-izni; kullanıcı-teyidi-2026-07-26","/urunler/kastamonu-entegre/dekoratif-panel/","PS77 Flow yüzey dokusu","aday","Detay görseli; renk/dekor kartelası gibi sunulmayacak.","","","","","","","skip"
"ke-surface-ps10","yuzey-ps10-duz","surface-icon","https://www.kastamonuentegre.com/uploads/2022/12/duz-1.svg","https://www.kastamonuentegre.com/tr_tr/urunler/dekoratif-panel","duz-1.svg","public/images/products/kastamonu-entegre/yuzeyler/ps10-duz.webp","2026-07-26","sha256:018ebe0cbdbc03646912b110cac1501935f33ec68e5764ba425e8bedd905952d","bayilik-anlasmasi-gorsel-kullanim-izni; kullanıcı-teyidi-2026-07-26","/urunler/kastamonu-entegre/dekoratif-panel/","PS10 Düz yüzey örneği","onaylı","Yüzey/doku örneğidir; renk kartelası değildir.","3811","assets/kastamonu-entegre/original/yuzey-ps10-duz/duz-1.svg","sha256:cd5c5324ae09294e9a52ea66de3da2472a7715ae56b94351bc3e839888e3d979","6392","512","512","optimize-and-archive"
"ke-surface-ps11","yuzey-ps11-natural","surface-icon","https://www.kastamonuentegre.com/uploads/2022/12/natural-1.svg","https://www.kastamonuentegre.com/tr_tr/urunler/dekoratif-panel","natural-1.svg","public/images/products/kastamonu-entegre/yuzeyler/ps11-natural.webp","2026-07-26","sha256:d7b32ff72b976d5251f154e5e77d3f28b02d298be6c1c3bcb7030fc3e97a6b10","bayilik-anlasmasi-gorsel-kullanim-izni; kullanıcı-teyidi-2026-07-26","/urunler/kastamonu-entegre/dekoratif-panel/","PS11 Natural yüzey örneği","onaylı","Yüzey/doku örneğidir; renk kartelası değildir.","9207","assets/kastamonu-entegre/original/yuzey-ps11-natural/natural-1.svg","sha256:ed0c134e79ec8cfa2a6a480850a85e38a0592886c86ac0fbc98a70ffaac4ae10","11444","512","512","optimize-and-archive"
"ke-surface-ps12","yuzey-ps12-parlak","surface-icon","https://www.kastamonuentegre.com/uploads/2022/12/parlak-1.svg","https://www.kastamonuentegre.com/tr_tr/urunler/dekoratif-panel","parlak-1.svg","public/images/products/kastamonu-entegre/yuzeyler/ps12-parlak.webp","2026-07-26","sha256:b93958f3b6b12da6ee24fdede6f360ecbb1a70336f59c068f293049523e0689e","bayilik-anlasmasi-gorsel-kullanim-izni; kullanıcı-teyidi-2026-07-26","/urunler/kastamonu-entegre/dekoratif-panel/","PS12 Parlak yüzey örneği","onaylı","Yüzey/doku örneğidir; renk kartelası değildir.","6987","assets/kastamonu-entegre/original/yuzey-ps12-parlak/parlak-1.svg","sha256:4b6d845aba90169eef1fd3181164d294ecb5e236ebd5251866266940f8dead00","9286","512","512","optimize-and-archive"
